iter	Passed	Remaining
0	0	64
1	1	65
2	1	61
3	2	55
4	3	59
5	3	58
6	4	56
7	4	55
8	5	56
9	6	55
10	6	55
11	7	54
12	8	54
13	8	53
14	9	52
15	9	51
16	10	51
17	10	50
18	11	49
19	12	49
20	13	49
21	13	48
22	14	47
23	14	47
24	15	46
25	16	45
26	16	45
27	17	44
28	17	43
29	18	43
30	19	42
31	19	41
32	20	41
33	20	40
34	21	39
35	21	39
36	22	38
37	23	38
38	23	37
39	24	36
40	25	36
41	25	34
42	25	34
43	26	33
44	26	32
45	27	32
46	28	31
47	28	31
48	29	30
49	29	29
50	30	29
51	30	28
52	31	27
53	31	27
54	32	26
55	33	26
56	33	25
57	34	24
58	34	24
59	35	23
60	35	23
61	36	22
62	37	21
63	37	21
64	38	20
65	38	19
66	39	19
67	39	18
68	40	18
69	40	17
70	41	16
71	42	16
72	42	15
73	43	15
74	43	14
75	44	14
76	44	13
77	45	12
78	45	12
79	46	11
80	46	11
81	47	10
82	48	9
83	48	9
84	49	8
85	49	8
86	50	7
87	50	6
88	51	6
89	51	5
90	52	5
91	52	4
92	53	4
93	53	3
94	54	2
95	54	2
96	55	1
97	55	1
98	56	0
99	57	0
