iter	Passed	Remaining
0	1	1074
1	1	918
2	2	817
3	3	774
4	3	753
5	4	738
6	5	759
7	6	760
8	6	753
9	7	744
10	8	733
11	8	725
12	9	718
13	10	710
14	10	700
15	11	689
16	11	685
17	12	678
18	13	671
19	13	666
20	14	659
21	14	661
22	15	660
23	16	658
24	16	658
25	17	657
26	18	654
27	18	652
28	19	650
29	20	653
30	20	655
31	21	658
32	22	660
33	23	656
34	23	655
35	24	654
36	25	653
37	25	652
38	26	651
39	27	649
40	27	649
41	28	645
42	28	643
43	29	642
44	30	638
45	30	638
46	31	636
47	32	636
48	32	634
49	33	633
50	33	631
51	34	630
52	35	631
53	36	632
54	36	635
55	37	636
56	38	636
57	39	633
58	39	633
59	40	632
60	40	630
61	41	628
62	42	626
63	42	624
64	43	622
65	43	622
66	44	621
67	45	621
68	45	619
69	46	618
70	47	617
71	47	616
72	48	615
73	49	614
74	49	613
75	50	612
76	51	614
77	51	613
78	52	614
79	53	614
80	54	613
81	54	613
82	55	608
83	55	607
84	56	605
85	56	604
86	57	602
87	58	601
88	58	600
89	59	598
90	59	597
91	60	596
92	61	595
93	61	593
94	62	592
95	62	590
96	63	589
97	63	588
98	64	590
99	65	592
100	66	595
101	68	599
102	68	600
103	69	600
104	70	600
105	71	600
106	72	601
107	72	600
108	73	599
109	74	601
110	75	605
111	76	606
112	77	605
113	77	604
114	78	603
115	79	602
116	79	599
117	80	598
118	80	598
119	81	599
120	82	599
121	83	599
122	84	602
123	85	601
124	85	600
125	86	599
126	87	599
127	88	599
128	88	599
129	89	598
130	90	597
131	90	596
132	91	595
133	92	594
134	92	593
135	93	592
136	93	591
137	94	590
138	95	589
139	95	588
140	96	588
141	97	586
142	98	589
143	99	590
144	100	589
145	100	589
146	101	589
147	102	589
148	103	589
149	104	591
150	105	590
151	105	590
152	106	591
153	107	591
154	108	592
155	109	591
156	110	590
157	110	589
158	111	589
159	112	589
160	112	588
161	113	588
162	114	588
163	115	588
164	116	588
165	116	587
166	117	586
167	118	585
168	118	584
169	119	584
170	120	583
171	120	582
172	121	582
173	122	581
174	123	580
175	123	580
176	124	579
177	125	579
178	126	579
179	127	580
180	128	579
181	129	579
182	129	578
183	130	577
184	130	576
185	131	575
186	132	574
187	132	573
188	133	573
189	134	572
190	134	571
191	135	570
192	136	569
193	136	568
194	137	567
195	138	567
196	138	566
197	139	565
198	140	564
199	140	563
200	141	562
201	142	562
202	143	563
203	144	563
204	145	562
205	145	562
206	146	561
207	147	561
208	148	560
209	148	559
210	149	559
211	150	559
212	151	559
213	152	558
214	152	557
215	153	556
216	154	555
217	154	555
218	155	554
219	156	553
220	156	553
221	157	552
222	158	552
223	159	551
224	159	551
225	160	550
226	161	549
227	162	548
228	162	547
229	163	546
230	163	545
231	164	544
232	165	543
233	165	542
234	166	542
235	167	541
236	167	540
237	168	539
238	168	538
239	169	537
240	170	536
241	170	535
242	171	534
243	172	533
244	173	533
245	173	532
246	174	531
247	175	531
248	175	530
249	176	530
250	177	529
251	178	528
252	178	528
253	179	528
254	180	527
255	181	526
256	181	526
257	182	525
258	183	524
259	184	524
260	184	523
261	185	522
262	186	521
263	186	521
264	187	520
265	188	519
266	189	519
267	189	518
268	190	517
269	191	516
270	191	516
271	192	516
272	193	515
273	194	514
274	194	513
275	195	512
276	195	511
277	196	510
278	197	509
279	197	508
280	198	508
281	199	507
282	199	506
283	200	504
284	200	504
285	201	503
286	202	503
287	203	503
288	204	503
289	205	503
290	206	503
291	207	502
292	207	501
293	208	500
294	208	499
295	209	498
296	210	498
297	211	497
298	211	496
299	212	495
300	213	495
301	213	494
302	214	493
303	215	492
304	215	491
305	216	490
306	216	489
307	217	488
308	218	488
309	219	487
310	219	487
311	220	486
312	221	485
313	221	484
314	222	483
315	223	482
316	223	481
317	224	481
318	224	480
319	225	479
320	226	479
321	227	478
322	228	478
323	229	477
324	229	477
325	230	476
326	231	475
327	231	475
328	232	474
329	233	473
330	233	472
331	234	471
332	235	471
333	236	471
334	237	470
335	238	470
336	238	469
337	239	468
338	240	468
339	240	467
340	241	466
341	242	466
342	242	465
343	243	464
344	244	463
345	244	462
346	245	461
347	246	461
348	246	460
349	247	459
350	248	458
351	248	457
352	249	457
353	250	456
354	251	456
355	251	455
356	252	454
357	253	454
358	253	453
359	254	452
360	255	451
361	255	450
362	256	449
363	256	448
364	257	448
365	258	447
366	258	446
367	259	445
368	260	444
369	260	444
370	261	443
371	262	442
372	262	441
373	263	440
374	263	439
375	264	439
376	265	438
377	266	438
378	266	437
379	267	436
380	268	435
381	268	434
382	269	434
383	270	433
384	270	432
385	271	432
386	272	431
387	273	430
388	273	430
389	274	429
390	275	428
391	276	428
392	277	427
393	277	427
394	278	426
395	279	425
396	280	425
397	281	425
398	281	424
399	282	424
400	283	423
401	284	422
402	284	421
403	285	420
404	285	420
405	286	419
406	287	418
407	287	417
408	288	416
409	289	416
410	290	416
411	290	415
412	291	414
413	292	413
414	293	413
415	293	412
416	294	411
417	295	410
418	295	410
419	296	409
420	297	409
421	298	408
422	299	408
423	299	407
424	300	406
425	301	405
426	301	404
427	302	404
428	303	403
429	303	402
430	304	401
431	304	401
432	305	400
433	306	399
434	306	398
435	307	397
436	308	397
437	308	396
438	309	396
439	311	395
440	311	395
441	312	394
442	313	394
443	314	394
444	315	394
445	316	393
446	317	392
447	318	392
448	319	391
449	319	390
450	320	389
451	321	389
452	321	388
453	322	387
454	323	386
455	323	386
456	324	385
457	325	384
458	325	384
459	326	383
460	327	382
461	328	382
462	328	381
463	329	380
464	330	379
465	330	379
466	331	378
467	331	377
468	332	376
469	333	375
470	333	375
471	334	374
472	335	373
473	335	372
474	336	371
475	336	370
476	337	370
477	338	369
478	338	368
479	339	367
480	340	366
481	340	366
482	341	365
483	342	364
484	342	364
485	343	363
486	344	362
487	344	361
488	345	361
489	346	360
490	346	359
491	347	358
492	348	358
493	349	357
494	350	357
495	350	356
496	351	355
497	352	355
498	352	354
499	353	353
500	354	352
501	354	352
502	355	351
503	356	350
504	357	349
505	358	349
506	358	348
507	359	348
508	360	347
509	360	346
510	361	345
511	362	345
512	362	344
513	363	343
514	364	342
515	364	342
516	365	341
517	366	340
518	366	340
519	367	339
520	368	338
521	368	337
522	369	336
523	369	336
524	370	335
525	371	334
526	372	334
527	372	333
528	373	332
529	374	331
530	374	330
531	375	330
532	375	329
533	376	328
534	377	327
535	377	327
536	378	326
537	379	325
538	380	325
539	380	324
540	381	324
541	382	323
542	383	322
543	383	321
544	384	320
545	384	320
546	385	319
547	386	318
548	387	318
549	388	317
550	389	317
551	390	316
552	390	315
553	391	315
554	392	314
555	393	314
556	394	313
557	394	312
558	395	311
559	396	311
560	396	310
561	397	309
562	398	309
563	398	308
564	399	307
565	400	306
566	401	306
567	402	305
568	403	305
569	404	304
570	405	304
571	405	303
572	406	303
573	407	302
574	408	301
575	408	300
576	409	300
577	409	299
578	410	298
579	411	297
580	412	297
581	412	296
582	413	295
583	414	295
584	415	294
585	415	293
586	416	292
587	417	292
588	418	292
589	419	291
590	420	290
591	420	290
592	421	289
593	422	288
594	423	287
595	423	287
596	424	286
597	425	285
598	425	285
599	426	284
600	427	283
601	427	282
602	428	282
603	429	281
604	429	280
605	430	279
606	431	279
607	431	278
608	432	277
609	433	277
610	434	276
611	434	275
612	435	274
613	436	274
614	437	273
615	437	272
616	438	272
617	439	271
618	439	270
619	440	269
620	441	269
621	442	268
622	442	267
623	443	267
624	443	266
625	444	265
626	445	264
627	445	264
628	446	263
629	447	262
630	448	262
631	449	261
632	449	260
633	450	260
634	451	259
635	451	258
636	452	257
637	453	257
638	453	256
639	454	255
640	455	255
641	456	254
642	457	253
643	457	253
644	458	252
645	459	251
646	459	250
647	460	250
648	461	249
649	461	248
650	462	248
651	463	247
652	464	246
653	464	245
654	465	245
655	466	244
656	466	243
657	467	243
658	468	242
659	469	241
660	470	241
661	470	240
662	471	239
663	472	239
664	473	238
665	473	237
666	474	236
667	474	236
668	475	235
669	476	234
670	476	233
671	478	233
672	478	232
673	479	231
674	480	231
675	481	230
676	481	229
677	482	229
678	483	228
679	483	227
680	484	226
681	484	226
682	485	225
683	486	224
684	487	224
685	487	223
686	488	222
687	489	221
688	489	221
689	490	220
690	491	219
691	491	218
692	492	218
693	493	217
694	494	216
695	494	216
696	495	215
697	496	214
698	496	213
699	497	213
700	498	212
701	499	211
702	499	211
703	500	210
704	501	209
705	502	209
706	502	208
707	503	207
708	504	206
709	504	206
710	505	205
711	506	204
712	506	203
713	507	203
714	508	202
715	509	202
716	509	201
717	510	200
718	511	199
719	511	199
720	512	198
721	513	197
722	513	196
723	514	196
724	515	195
725	516	194
726	516	194
727	517	193
728	518	192
729	519	192
730	519	191
731	520	190
732	521	189
733	521	189
734	522	188
735	523	187
736	524	187
737	525	186
738	526	185
739	526	185
740	527	184
741	528	183
742	529	183
743	529	182
744	530	181
745	531	180
746	531	180
747	532	179
748	533	178
749	533	177
750	534	177
751	535	176
752	535	175
753	536	175
754	537	174
755	538	173
756	539	173
757	539	172
758	540	171
759	541	170
760	541	170
761	542	169
762	543	168
763	543	168
764	544	167
765	545	166
766	546	166
767	547	165
768	547	164
769	548	163
770	549	163
771	550	162
772	550	161
773	551	160
774	552	160
775	552	159
776	553	158
777	554	158
778	555	157
